Package                            Version
multidict                          6.0.5
multitasking                       0.0.11
mutagen                            1.47.0
mypy_extensions                    1.1.0
mysqlclient                        2.2.4
Naked                              0.1.32
namex                              0.1.0
nest-asyncio                       1.6.0
networkx                           3.5
nh3                                0.2.18
Nuitka                             2.7.12
numpy                              2.2.6
openai                             1.97.0
opencv-contrib-python              4.10.0.84
opencv-python                      4.10.0.84
opencv-python-headless             4.12.0.88
openpyxl                           3.1.2
opt_einsum                         3.4.0
optree                             0.16.0
ordered-set                        4.1.0
orjson                             3.11.0
outcome                            1.3.0.post0
packaging                          24.0
paddleocr                          3.1.0
paddlex                            3.1.3
pandas                             2.3.1
parsel                             1.10.0
patool                             2.3.0
pbs-installer                      2025.7.12
pdf2image                          1.17.0
pdfkit                             1.0.0
pdfminer.six                       20250506
peewee                             3.17.5
pefile                             2023.2.7
pillow                             10.4.0
pip                                25.1.1
pkginfo                            1.12.1.2
platformdirs                       4.2.2
playwright                         1.54.0
plotly                             5.22.0
poetry                             2.1.3
poetry-core                        2.1.3
pptree                             3.1
premailer                          3.10.0
prettytable                        3.10.2
Protego                            0.5.0
protobuf                           4.25.3
psutil                             7.0.0
py-cpuinfo                         9.0.0
pyarrow                            16.1.0
pyasn1                             0.6.1
pyasn1_modules                     0.4.2
PyAutoGUI                          0.9.54
pyclipper                          1.3.0.post6
pycparser                          2.22
pycryptodomex                      3.20.0
pydantic                           2.11.7
pydantic_core                      2.33.2
pydantic-settings                  2.10.1
pydeck                             0.9.1
PyDispatcher                       2.0.7
pydub                              0.25.1
pydyf                              0.11.0
pyee                               13.0.0
pyfiglet                           1.0.2
pygame                             2.5.2
PyGetWindow                        0.0.9
Pygments                           2.18.0
pyinstaller                        6.6.0
pyinstaller-hooks-contrib          2024.5
pymongo                            4.13.2
PyMsgBox                           1.0.9
PyMuPDF                            1.24.7
PyMuPDFb                           1.24.6
pynput                             1.7.7
pyOpenSSL                          25.1.0
pyparsing                          3.2.3
pypdf                              5.8.0
PyPDF2                             3.0.1
pypdfium2                          4.30.0
pyperclip                          1.8.2
pyphen                             0.16.0
pyproject_hooks                    1.2.0
PyQt5                              5.15.10
PyQt5-Qt5                          5.15.2
PyQt5-sip                          12.13.0
PyRect                             0.2.0
PyScreeze                          1.0.1
PySocks                            1.7.1
pystray                            0.19.5
pytesseract                        0.3.10
python-dateutil                    2.9.0.post0
python-docx                        1.1.0
python-dotenv                      1.0.1
python-slugify                     8.0.4
python-socks                       2.7.1
pytorch_revgrad                    0.2.0
pytube                             15.0.0
pytweening                         1.2.0
pytz                               2024.1
pyunpack                           0.3
pywin32                            306
pywin32-ctypes                     0.2.2
pywinauto                          0.6.9
PyYAML                             6.0.2
queuelib                           1.8.0
RapidFuzz                          3.13.0
rarfile                            4.2
readme_renderer                    44.0
redis                              6.2.0
referencing                        0.35.1
regex                              2024.11.6
requests                           2.32.3
requests-file                      2.1.0
requests-toolbelt                  1.0.0
retrying                           1.4.1
rfc3986                            2.0.0
rich                               13.7.1
rich-click                         1.8.9
rpds-py                            0.18.1
ruamel.yaml                        0.18.14
ruamel.yaml.clib                   0.2.12
s3transfer                         0.13.1
safetensors                        0.5.3
scikit-learn                       1.7.1
scipy                              1.16.0
Scrapy                             2.13.3
seaborn                            0.13.2
segtok                             1.5.11
selenium                           4.29.0
sentence-transformers              5.0.0
sentencepiece                      0.2.0
service-identity                   24.2.0
setuptools                         69.5.1
shapely                            2.1.1
shellescape                        3.8.1
shellingham                        1.5.4
six                                1.16.0
smmap                              5.0.1
sniffio                            1.3.1
socksio                            1.0.0
sortedcontainers                   2.4.0
soupsieve                          2.5
SQLAlchemy                         2.0.30
sqlitedict                         2.1.0
starlette                          0.47.2
streamlit                          1.35.0
striprtf                           0.0.29
sympy                              1.14.0
tabulate                           0.9.0
tenacity                           8.3.0
tensorboard                        2.19.0
tensorboard-data-server            0.7.2
tensorflow                         2.19.0
termcolor                          3.1.0
text-unidecode                     1.3
threadpoolctl                      3.6.0
tiktoken                           0.9.0
tinycss2                           1.3.0
tinydb                             4.8.2
tk                                 0.1.0
tkPDFViewer                        0.1
tldextract                         5.3.0
tokenizers                         0.21.2
toml                               0.10.2
tomlkit                            0.13.3
toolz                              0.12.1
torch                              2.7.1
tornado                            6.4.1
tqdm                               4.67.1
transformer-smaller-training-vocab 0.4.2
transformers                       4.53.3
trio                               0.29.0
trio-websocket                     0.12.2
trove-classifiers                  2025.5.9.12
ttkbootstrap                       1.14.0
twine                              5.1.1
Twisted                            25.5.0
typing_extensions                  4.14.1
typing-inspect                     0.9.0
typing-inspection                  0.4.1
tzdata                             2024.1
ujson                              5.10.0
urllib3                            2.2.1
virtualenv                         20.32.0
vobject                            0.9.7
w3lib                              2.3.1
watchdog                           4.0.1
wcwidth                            0.2.13
weasyprint                         62.3
webdriver-manager                  4.0.2
webencodings                       0.5.1
websocket-client                   1.8.0
websockets                         12.0
Werkzeug                           2.3.6
wheel                              0.45.1
Wikipedia-API                      0.8.1
win32_setctime                     1.2.0
wrapt                              1.17.2
wsproto                            1.2.0
xgboost                            3.0.2
xyzservices                        2025.4.0
yarl                               1.9.4
yfinance                           0.2.40
youtube-dl                         2021.12.17
yt-dlp                             2025.1.15
zipp                               3.15.0
zope.interface                     7.2
zopfli                             0.2.3
zstandard                          0.23.0
